nom_du_musee,année,region,ville,payant,gratuit,total,id_museofile
Musée Marcel Proust,2016,CENTRE-VAL DE LOIRE,ILLIERS-COMBRAY,3915,286,4201,
Musée du Château Saint-Jean,2016,CENTRE-VAL DE LOIRE,NOGENT-LE-ROTROU,9202,10818,20020,
Atelier Musée Louis Leygue,2016,CENTRE-VAL DE LOIRE,NAVEIL,0,51,51,
Musée de Vendôme,2016,CENTRE-VAL DE LOIRE,VENDOME,0,14943,14943,
Musée Gaston Couté,2016,CENTRE-VAL DE LOIRE,MEUNG-SUR-LOIRE,0,2136,2136,
Musée Girodet,2016,CENTRE-VAL DE LOIRE,MONTARGIS,0,1500,1500,
Musée de l'Alta Rocca,2016,CORSE,LEVIE,6179,8449,14628,
Musée Archéologique de Mariana - Prince Rainier III de Monaco,2016,CORSE,LUCCIANA,0,7300,7300,
Musée Départemental Pascal Paoli,2016,CORSE,MOROSAGLIA,2383,3700,6083,
Musée Arthur Rimbaud,2016,GRAND EST,CHARLEVILLE-MEZIERES,7873,10951,18824,
Musée de l'Ardenne,2016,GRAND EST,CHARLEVILLE-MEZIERES,5527,30974,36501,
Musée Napoléon Ier,2016,GRAND EST,BRIENNE-LE-CHATEAU,992,335,1327,
Pharmacie Musée de l'Hôtel-Dieu,2016,GRAND EST,TROYES,3640,7847,11487,
Musée Alsacien,2016,GRAND EST,HAGUENAU,828,1260,2088,
Musée d'Art Moderne et Contemporain de Strasbourg,2016,GRAND EST,STRASBOURG,49095,77215,126310,
Musée Tomi Ungerer,2016,GRAND EST,STRASBOURG,21732,22655,44387,
Musée de la Coutellerie,2016,GRAND EST,NOGENT,3920,1402,5322,
Musée Sundgauvien d'Altkirch,2016,GRAND EST,ALTKIRCH,562,1615,2177,
Musée d'Unterlinden,2016,GRAND EST,COLMAR,222852,71148,294000,
Musée d'Histoire Naturelle et d'Ethnographie de Colmar,2016,GRAND EST,COLMAR,7789,5110,12899,
Musée Bartholdi,2016,GRAND EST,COLMAR,13737,9052,22789,
Musée Historique et Militaire de Huningue,2016,GRAND EST,HUNINGE,105,220,325,
Musée Historique,2016,GRAND EST,MULHOUSE,0,38899,38899,
Musée du Sapeur Pompier d'Alsace,2016,GRAND EST,VIEUX FERRETTE,4371,1127,5498,
Musée Garinet,2016,GRAND EST,CHALONS-EN-CHAMPAGNE,174,605,779,
Musée du Cloître de Notre-Dame-en-Vaux,2016,GRAND EST,CHALONS-EN-CHAMPAGNE,911,2098,3009,
Musée de l'Ancien Collège des Jésuites/Planétarium,2016,GRAND EST,REIMS,24639,18563,43202,
Les Sources d'Hercule,2016,GRAND EST,DENEUVRE,2897,1695,4592,
Musée du Château de Lunéville,2016,GRAND EST,LUNEVILLE,28610,146234,174844,
Palais des ducs de Lorraine - Musée Historique Lorrain,2016,GRAND EST,NANCY,16585,44507,61092,
Musée Jules Bastien-Lepage - Musée de la Fortification,2016,GRAND EST,MONTMEDY,10744,2937,13681,
Musée d'Art Sacré de la Meuse,2016,GRAND EST,SAINT-MIHIEL,1029,695,1724,
Musée de la Princerie,2016,GRAND EST,VERDUN,1845,3116,4961,
Maison du Verre et du Cristal,2016,GRAND EST,MEISENTHAL,15560,3630,19190,
Centre Pompidou de Metz (collections nationales decentralisées),2016,GRAND EST,METZ,148792,151797,300589,
Moulin de la Blies - Musée des Techniques Faïencières,2016,GRAND EST,SARREGUEMINES,11615,12090,23705,
Musée Territorial Alexandre Franconie,2016,GUYANE,CAYENNE,594,9284,9878,
Musée des Cultures Guyanaises,2016,GUYANE,CAYENNE,1440,6662,8102,
Ecomusée Municipal d'Approuague-Kaw,2016,GUYANE,REGINA,1068,3316,4384,
Familistère de Guise,2016,HAUTS-DE-FRANCE,GUISE,56799,8491,65290,
Musée d'Art et d'Archéologie,2016,HAUTS-DE-FRANCE,LAON,1285,3175,4460,
Musée Entomologique,2016,HAUTS-DE-FRANCE,SAINT-QUENTIN,0,22896,22896,
Musée Benoît de Puydt,2016,HAUTS-DE-FRANCE,BAILLEUL,1675,2736,4411,
Musée Départemental de Flandre,2016,HAUTS-DE-FRANCE,CASSEL,33581,16203,49784,
Musée de la Chartreuse,2016,HAUTS-DE-FRANCE,DOUAI,2203,30451,32654,
Musée Portuaire,2016,HAUTS-DE-FRANCE,DUNKERQUE,31712,23283,54995,
"Centre Historique Minier, Musée de la Mine, Centre d'Archives, Centre de Culture Scientifique de l'Energie",2016,HAUTS-DE-FRANCE,LEWARDE,131295,10978,142273,
Palais des Beaux-Arts de Lille,2016,HAUTS-DE-FRANCE,LILLE,109940,141750,251690,
Musée de l'Hospice Comtesse,2016,HAUTS-DE-FRANCE,LILLE,30806,20588,51394,
La Piscine - Musée d'Art et d'Industrie André Diligent de Roubaix,2016,HAUTS-DE-FRANCE,ROUBAIX,107625,109032,216657,
Musée de la Tour Abbatiale,2016,HAUTS-DE-FRANCE,SAINT-AMAND-LES-EAUX,0,17683,17683,
Musée des Beaux-Arts,2016,HAUTS-DE-FRANCE,VALENCIENNES,25149,15284,40433,
"LAM - Lille Métropole Musée d'Art Moderne, d'Art Contemporain et d'Art Brut",2016,HAUTS-DE-FRANCE,VILLENEUVE-D'ASCQ,218661,49994,268655,
Musée du Château de Compiègne,2016,HAUTS-DE-FRANCE,COMPIEGNE,37011,49340,86351,
Musée des Beaux-Arts et de la Dentelle,2016,HAUTS-DE-FRANCE,CALAIS,6920,15671,22591,
Musée d'Histoire et d'Archéologie,2016,HAUTS-DE-FRANCE,HARNES,0,824,824,
Musée de l'Hôtel Sandelin,2016,HAUTS-DE-FRANCE,SAINT-OMER,5107,11074,16181,
Musée Boucher-de-Perthes,2016,HAUTS-DE-FRANCE,ABBEVILLE,1578,10436,12014,
Musée des Années Trente,2016,ILE-DE-FRANCE,BOULOGNE-BILLANCOURT,19886,0,19886,
Fondation Arp,2016,ILE-DE-FRANCE,CLAMART,997,1070,2067,
Musée d'Art et d'Histoire,2016,ILE-DE-FRANCE,MEUDON,2536,8939,11475,
Musée d'Histoire Locale - Mémoire de la Ville (& musée Franco Suisse),2016,ILE-DE-FRANCE,RUEIL-MALMAISON,0,7255,7255,
Musée des Avelines - Musée d'Art et d'Histoire,2016,ILE-DE-FRANCE,SAINT-CLOUD,1225,19386,20611,
Musée des Arts Décoratifs (Union Centrale des Arts Décoratifs),2016,ILE-DE-FRANCE,PARIS,298727,254078,552805,
Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,2016,ILE-DE-FRANCE,PARIS,499102,282928,782030,
Maison de Victor Hugo,2016,ILE-DE-FRANCE,PARIS,42214,80974,123188,
Musée National Picasso,2016,ILE-DE-FRANCE,PARIS,449555,220445,670000,
Crypte Archéologique du Parvis Notre-Dame,2016,ILE-DE-FRANCE,PARIS,51296,127623,178919,
Galerie de Botanique (Muséum National National d'Histoire Naturelle),2016,ILE-DE-FRANCE,PARIS,4736,3027,7763,
Musée National Auguste Rodin,2016,ILE-DE-FRANCE,PARIS,414142,169865,584007,
Musée de la Musique,2016,ILE-DE-FRANCE,PARIS,182877,91282,274159,
Musée National Gustave Moreau,2016,ILE-DE-FRANCE,PARIS,28189,23767,51956,
Musée de la Franc-Maçonnerie,2016,ILE-DE-FRANCE,PARIS,15950,6160,22110,
Établissement Public de la Porte Dorée - Musée de National de l’Histoire de l’Immigration,2016,ILE-DE-FRANCE,PARIS,51678,55302,106980,
Etablissement Public de la Porte Dorée - Palais,2016,ILE-DE-FRANCE,PARIS,9401,13706,23107,
Musée Bourdelle,2016,ILE-DE-FRANCE,PARIS,2720,36657,39377,
Musée du Maréchal Leclerc de Hauteclocque et de la Libération de Paris - musée Jean Moulin,2016,ILE-DE-FRANCE,PARIS,811,12704,13515,
Musée d'Ennery,2016,ILE-DE-FRANCE,PARIS,0,777,777,
Institut du Monde Arabe,2016,ILE-DE-FRANCE,PARIS,59064,64596,123660,
L'Adresse Musée de la Poste,2016,ILE-DE-FRANCE,PARIS,12745,27182,39927,
Musée Bossuet,2016,ILE-DE-FRANCE,MEAUX,3685,8599,12284,
Musée de la Gendarmerie Nationale,2016,ILE-DE-FRANCE,MELUN,11055,11822,22877,
Musée Départemental de Préhistoire d'Île de France,2016,ILE-DE-FRANCE,NEMOURS,3931,22953,26884,
Musée de l'Air et de l'Espace,2016,ILE-DE-FRANCE,LE BOURGET,121826,70137,191963,
Musée de Saint-Maur - Villa Médicis,2016,ILE-DE-FRANCE,LA VARENNE-SAINT-HILAIRE,227,10970,11197,
Musée de Nogent-Sur-Marne,2016,ILE-DE-FRANCE,NOGENT-SUR-MARNE,498,6108,6606,
Musée Tavet Delacour,2016,ILE-DE-FRANCE,PONTOISE,3136,3669,6805,
Musée Camille Pissarro,2016,ILE-DE-FRANCE,PONTOISE,0,1943,1943,
Musée de la Ville,2016,ILE-DE-FRANCE,MONTIGNY LE BRETONNEUX,2298,2239,4537,
Musée du Jouet Pierre Pinel,2016,ILE-DE-FRANCE,POISSY,5860,3752,9612,
Musée Rambolitrain,2016,ILE-DE-FRANCE,RAMBOUILLET,16327,2265,18592,
Musée Municipal - Collections Paul et André Véra,2016,ILE-DE-FRANCE,SAINT-GERMAIN-EN-LAYE,0,2816,2816,
Etablissement Public du Musée et du Domaine National de Versailles,2016,ILE-DE-FRANCE,VERSAILLES,5177020,1524173,6701193,
Musée de Normandie,2016,NORMANDIE,CAEN,18390,32375,50765,
Musée de la Mine,2016,NORMANDIE,LE MOLAY-LITTRY,2014,731,2745,
Musée du Château,2016,NORMANDIE,PONTECOULANT,3125,1340,4465,
Château de Saint-Germain de Livet,2016,NORMANDIE,SAINT-GERMAIN DE LIVET,8638,7968,16606,
Paléospace / Musée Paléontologique,2016,NORMANDIE,VILLERS-SUR-MER,44452,6328,50780,
Musée du Verre et de la Pierre,2016,NORMANDIE,CONCHES-EN-OUCHE,1942,1947,3889,
Musée de l'Ancien Evêché,2016,NORMANDIE,EVREUX,0,23133,23133,
Musée Artisanal et Industriel d'Instruments à Vent,2016,NORMANDIE,LA COUTURE-BOUSSEY,1965,1303,3268,
Musée Municipal Nicolas Poussin,2016,NORMANDIE,LES ANDELYS,1667,1219,2886,
Musée Municipal d'Avranches,2016,NORMANDIE,AVRANCHES,0,5487,5487,
Musée de l'Abbaye,2016,NORMANDIE,CERISY-LA-FORET,4556,546,5102,
Muséum Emmanuel Liais,2016,NORMANDIE,CHERBOURG-EN-COTENTIN,1842,7607,9449,
Musée Quesnel-Morinière,2016,NORMANDIE,COUTANCES,392,7895,8287,
Musée Municipal,2016,NORMANDIE,EQUEURDREVILLLE-HAINNEVILLE,0,3000,3000,
Musée Richard Anacréon,2016,NORMANDIE,GRANVILLE,7375,6079,13454,
"Musée du Bocage Normand, ferme du bois Jugan",2016,NORMANDIE,SAINT-LO,1429,2493,3922,
Maison des Templiers,2016,NORMANDIE,CAUDEBEC-EN-CAUX,0,500,500,
Abbaye de Graville - Musée du Prieuré de Graville,2016,NORMANDIE,LE HAVRE,2230,4898,7128,
Musée Départemental Pierre Corneille,2016,NORMANDIE,LE PETIT-COURONNE,247,2841,3088,
Musée des Antiquités de la Seine-Maritime,2016,NORMANDIE,ROUEN,157,27607,27764,
Muséum d'Histoire Naturelle,2016,NORMANDIE,ROUEN,15083,31795,46878,
Musée des Arts du Cognac (Annexe musée municipal),2016,NOUVELLE-AQUITAINE,COGNAC,7224,2562,9786,
Musée Protestant,2016,NOUVELLE-AQUITAINE,LA ROCHELLE,1027,682,1709,
Musée du Président Jacques Chirac,2016,NOUVELLE-AQUITAINE,SARRAN,14801,4601,19402,
Musée ethnographique et archéologique du Donjon,2016,NOUVELLE-AQUITAINE,NIORT,7988,9018,17006,
Musée d'Art et d'Histoire Georges Turpin,2016,NOUVELLE-AQUITAINE,PARTHENAY,0,6533,6533,
Musée National de la Préhistoire,2016,NOUVELLE-AQUITAINE,LES EYZIES-DE-TAYAC,38470,32313,70783,
Musée des Arts et Traditions Populaires du Périgord,2016,NOUVELLE-AQUITAINE,MUSSIDAN,942,1212,2154,
Musée Militaire - Souvenir du Périgord,2016,NOUVELLE-AQUITAINE,PERIGUEUX,1858,984,2842,
Musée Départemental d'Art Contemporain,2016,NOUVELLE-AQUITAINE,ROCHECHOUART,7733,5711,13444,
Musée Historique de l'Hydravion,2016,NOUVELLE-AQUITAINE,BISCARROSSE,15455,2925,18380,
Musée Départemental d'Histoire et d'Archéologie,2016,NOUVELLE-AQUITAINE,HASTINGUES,5393,7034,12427,
Ecomusée de la Grande Lande,2016,NOUVELLE-AQUITAINE,SABRES,74725,16369,91094,
Musée Départemental de la Faïence et des Arts de la table,2016,NOUVELLE-AQUITAINE,SAMADET,2104,3542,5646,
Musée Municipal (Moulin de Gajac),2016,NOUVELLE-AQUITAINE,VILLENEUVE-SUR-LOT,3722,4613,8335,
Musée Basque et de l'Histoire de Bayonne,2016,NOUVELLE-AQUITAINE,BAYONNE,26348,34927,61275,
Musée Edmond Rostand,2016,NOUVELLE-AQUITAINE,CAMBO-LES-BAINS,82356,9417,91773,
Musée des Traditions Populaires et d'Archéologie,2016,NOUVELLE-AQUITAINE,CHAUVIGNY,7164,2028,9192,
Musée Charbonneau-Lassay,2016,NOUVELLE-AQUITAINE,LOUDUN,0,1020,1020,
Musée de la Préhistoire,2016,OCCITANIE,LE MAS D'AZIL,12666,546,13212,
Musée d'Archéologie,2016,OCCITANIE,MONTSEGUR,1397,13791,15188,
Eburomagus Musée Archéologique,2016,OCCITANIE,BRAM,866,2504,3370,
Musée d'Art et d'Histoire - Ensemble monumental de Narbonne,2016,OCCITANIE,NARBONNE,33432,555735,589167,
Musée des Corbières,2016,OCCITANIE,SIGEAN,189,1151,1340,
Musée Régional de Géologie Pierre Vetter,2016,OCCITANIE,DECAZEVILLE,1349,1652,3001,
Musée Municipal de Millau,2016,OCCITANIE,MILLAU,3303,13380,16683,
Musée Fenaille,2016,OCCITANIE,RODEZ,20247,16025,36272,
Musée Municipal Urbain Cabrol,2016,OCCITANIE,VILLEFRANCHE-DE-ROUERGUE,0,13126,13126,
Musée-Bibliothèque Pierre-André Benoît,2016,OCCITANIE,ALES,3600,9087,12687,
Musée du Vieux Nîmes,2016,OCCITANIE,NIMES,4463,10981,15444,
Carré d'Art Musée d'Art Contemporain de Nîmes,2016,OCCITANIE,NIMES,10267,36924,47191,
Musée des Beaux-Arts,2016,OCCITANIE,NIMES,146,14759,14905,
Musée Départemental d'Art Sacré du Gard,2016,OCCITANIE,PONT-SAINT-ESPRIT,192,9827,10019,
Musée Archéologique,2016,OCCITANIE,EAUZE,8143,2051,10194,
"Les Abattoirs, Musée d'Art Moderne et Contemporain",2016,OCCITANIE,TOULOUSE,52452,102641,155093,
Musée des Augustins,2016,OCCITANIE,TOULOUSE,57020,103149,160169,
Musée Agathois,2016,OCCITANIE,AGDE,1702,1643,3345,
Musée Fabre,2016,OCCITANIE,MONTPELLIER,210596,88625,299221,
Musée du Vieux Montpellier,2016,OCCITANIE,MONTPELLIER,521,4571,5092,
Musée de Préhistoire Régionale et du Mégalithisme,2016,OCCITANIE,SAINT-PONS-DE-THOMIERES,2333,0,2333,
Musée Paul Valéry,2016,OCCITANIE,SETE,39884,10520,50404,
Musée de Cerdagne,2016,OCCITANIE,SAINTE-LEOCADIE,2640,920,3560,
Musée Charles Portal - Histoire et Patrimoine,2016,OCCITANIE,CORDES-SUR-CIEL,688,425,1113,
Musée du Protestantisme de la Réforme à la Laïcité,2016,OCCITANIE,FERRIERES,2011,1287,3298,
Muséum d'histoire naturelle Philadelphe Thomas,2016,OCCITANIE,GAILLAC,968,3756,4724,
Musée Départemental du Textile,2016,OCCITANIE,LA-BASTIDE-ROUAIROUX,3152,3826,6978,
Musée Raymond Lafage,2016,OCCITANIE,LISLE-SUR-TARN,1320,5396,6716,
Musée Ingres,2016,OCCITANIE,MONTAUBAN,18887,24480,43367,
Musée du Chaume/Kerhinet - PNR Brière,2016,PAYS DE LA LOIRE,SAINT-LYPHARD,0,85829,85829,
Musée du Textile,2016,PAYS DE LA LOIRE,CHOLET,5180,6356,11536,
Musée Communal Robert Tatin,2016,PAYS DE LA LOIRE,COSSE-LE-VIVIEN,20709,4916,25625,
Musée des Sciences - CCSTI,2016,PAYS DE LA LOIRE,LAVAL,5380,27371,32751,
Musée de la Reine Bérengère,2016,PAYS DE LA LOIRE,LE MANS,1551,10322,11873,
Musée de l'Abbaye de Sainte-Croix,2016,PAYS DE LA LOIRE,LES SABLES D'OLONNE,3924,15434,19358,
Musée du Nord de la Vendée,2016,PAYS DE LA LOIRE,MONTAIGU,0,100,100,
Musée La Bourrine du Bois-Juquaud,2016,PAYS DE LA LOIRE,SAINT-HILAIRE-DE-RIEZ,14366,2327,16693,
Musée de la vallée,2016,PROVENCE-ALPES-CÔTE D'AZUR,BARCELONNETTE,8240,1344,9584,
Musée Municipal,2016,PROVENCE-ALPES-CÔTE D'AZUR,FORCALQUIER,0,1399,1399,
Musée de la Faïence,2016,PROVENCE-ALPES-CÔTE D'AZUR,MOUSTIERS-SAINTE-MARIE,7128,1769,8897,
Musée archéologique,2016,PROVENCE-ALPES-CÔTE D'AZUR,VACHERES,672,120,792,
Musée d'Histoire et d'Archéologie,2016,PROVENCE-ALPES-CÔTE D'AZUR,ANTIBES,4996,5571,10567,
Musée Fernand Léger,2016,PROVENCE-ALPES-CÔTE D'AZUR,BIOT,13238,15244,28482,
Musée de la Mer,2016,PROVENCE-ALPES-CÔTE D'AZUR,CANNES,41654,35794,77448,
Musée d'Art et d'Histoire,2016,PROVENCE-ALPES-CÔTE D'AZUR,NICE,18652,31758,50410,
Musée d'Art Naïf Anatole Jakovsky,2016,PROVENCE-ALPES-CÔTE D'AZUR,NICE,4284,4317,8601,
Ecomusée du Pays de la Roudoule,2016,PROVENCE-ALPES-CÔTE D'AZUR,PUGET-ROSTANG,642,9076,9718,
Musée- Atelier de Paul Cézanne,2016,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,54925,7754,62679,
Muséum d'Histoire Naturelle,2016,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,3779,15554,19333,
Musée d'Histoire et d'Archéologie des Baux-de-Provence,2016,PROVENCE-ALPES-CÔTE D'AZUR,LES BAUX DE PROVENCE,286086,0,286086,
Musée des Docks Romains,2016,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,0,18413,18413,
Musée d'Histoire de Marseille,2016,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,22100,65596,87696,
Musée Départemental des Hautes-Alpes,2016,PROVENCE-ALPES-CÔTE D'AZUR,GAP,0,17986,17986,
Musée Archéologique Gallo-Romaine du Var,2016,PROVENCE-ALPES-CÔTE D'AZUR,FREJUS,3771,3937,7708,
Musée Jean Aicard,2016,PROVENCE-ALPES-CÔTE D'AZUR,LE POUVEREL LA GARDE,0,924,924,
Musée Archéologique,2016,PROVENCE-ALPES-CÔTE D'AZUR,SAINT-RAPHAËL,595,18559,19154,
Musée d'Art et d'Archéologie,2016,PROVENCE-ALPES-CÔTE D'AZUR,TOULON,0,31411,31411,
Musée National de la Marine de Toulon,2016,PROVENCE-ALPES-CÔTE D'AZUR,TOULON,23389,34748,58137,
Musée Comtadin-Duplessis,2016,PROVENCE-ALPES-CÔTE D'AZUR,CARPENTRAS,639,1116,1755,
Synagogue Musée Juif Comtadin,2016,PROVENCE-ALPES-CÔTE D'AZUR,CAVAILLON,3163,1597,4760,
Musée Municipal,2016,PROVENCE-ALPES-CÔTE D'AZUR,SAULT,0,757,757,
Musée de l'Arche,2016,ST PIERRE ET MIQUELON,SAINT-PIERRE ET MIQUELON,2609,1629,4238,
Musée du Brou,2017,AUVERGNE-RHONE-ALPES,BOURG-EN-BRESSE,73396,23736,97132,
Musée du Bugey-Valmorey,2017,AUVERGNE-RHONE-ALPES,LOCHIEU,2356,2172,4528,
Musée Départemental du Revermont,2017,AUVERGNE-RHONE-ALPES,VAL-REVERMONT,2661,8032,10693,
Musée du Rhône,2017,AUVERGNE-RHONE-ALPES,TOURNON-SUR-RHÔNE,13248,16404,29652,
Musée des Sciences,2017,AUVERGNE-RHONE-ALPES,AURILLAC,3326,6441,9767,
Château de Grignan,2017,AUVERGNE-RHONE-ALPES,GRIGNAN,117440,30093,147533,
Musée d'Archéologie Tricastine,2017,AUVERGNE-RHONE-ALPES,SAINT-PAUL-TROIS-CHATEAUX,2150,6239,8389,
Musée Léon Marès,2017,AUVERGNE-RHONE-ALPES,LOVAGNY,22972,1053,24025,
Musée Archéologique Grenoble Saint-Laurent,2017,AUVERGNE-RHONE-ALPES,GRENOBLE,0,46520,46520,
Conservatoire - Musée des Industries Hydroélectriques,2017,AUVERGNE-RHONE-ALPES,VAUJANY,0,8397,8397,
Musée Départemental de la Révolution Française,2017,AUVERGNE-RHONE-ALPES,VIZILLE,4671,65331,70002,
Musée de la Soierie,2017,AUVERGNE-RHONE-ALPES,CHARLIEU,3326,1435,4761,
Musée Hospitalier,2017,AUVERGNE-RHONE-ALPES,CHARLIEU,2630,837,3467,
Musée d'Allard,2017,AUVERGNE-RHONE-ALPES,MONTBRISON,1720,9839,11559,
Musée du Vieux Pommiers,2017,AUVERGNE-RHONE-ALPES,POMMIERS-EN-FOREZ,0,70,70,
Musée de la Mine / Site Couriot,2017,AUVERGNE-RHONE-ALPES,SAINT-ETIENNE,33155,42865,76020,
Musée des Civilisations : Daniel Pouget,2017,AUVERGNE-RHONE-ALPES,SAINT-JUST-SAINT-RAMBERT,4218,1107,5325,
Musée de la Dentelle,2017,AUVERGNE-RHONE-ALPES,ARLANC,1213,133,1346,
Musée Paléontologique,2017,AUVERGNE-RHONE-ALPES,MENAT,154,127,281,
Musée Régional d'Auvergne,2017,AUVERGNE-RHONE-ALPES,RIOM,0,3094,3094,
Musée Historique des Tissus,2017,AUVERGNE-RHONE-ALPES,LYON,49874,3947,53821,
Musée de la Civilisation Gallo-Romaine,2017,AUVERGNE-RHONE-ALPES,LYON,37483,72301,109784,
Musée Archéologique,2017,AUVERGNE-RHONE-ALPES,AIX-LES-BAINS,0,140,140,
Musée Noisot,2017,BOURGOGNE-FRANCHE-COMTE,FIXIN,298,91,389,
Musée des Beaux-Arts,2017,BOURGOGNE-FRANCHE-COMTE,MONTBARD,0,150,150,
Musée Buffon,2017,BOURGOGNE-FRANCHE-COMTE,MONTBARD,3704,5146,8850,
Musée de Plein Air des Maisons Comtoises,2017,BOURGOGNE-FRANCHE-COMTE,NANCRAY,29524,11998,41522,
Musée de la Vigne et du Vin,2017,BOURGOGNE-FRANCHE-COMTE,ARBOIS,3506,2012,5518,
Musée des Beaux-Arts,2017,BOURGOGNE-FRANCHE-COMTE,LONS-LE-SAUNIER,1110,7230,8340,
Viséum-Musée de la Lunette,2017,BOURGOGNE-FRANCHE-COMTE,MOREZ HAUTS DE BIENNE,8951,3309,12260,
Musée de l'Abbaye/Donations Guy Bardone - René Genis,2017,BOURGOGNE-FRANCHE-COMTE,SAINT-CLAUDE,7857,3262,11119,
Musée des Salines,2017,BOURGOGNE-FRANCHE-COMTE,SALINS-LES-BAINS,58631,5216,63847,
Musée du Septennat,2017,BOURGOGNE-FRANCHE-COMTE,CHATEAU-CHINON,7109,1758,8867,
Musée de la Loire,2017,BOURGOGNE-FRANCHE-COMTE,COSNE-SUR-LOIRE,3934,1496,5430,
Musée du Terroir,2017,BOURGOGNE-FRANCHE-COMTE,ROMENAY,2114,871,2985,
Musée de Bibracte,2017,BOURGOGNE-FRANCHE-COMTE,SAINT-LEGER-SOUS BEUVRAY,34075,10734,44809,
Musée d'Art et d'Histoire,2017,BOURGOGNE-FRANCHE-COMTE,AUXERRE,0,29251,29251,
Musée Muncipal,2017,BOURGOGNE-FRANCHE-COMTE,SENS,6474,19042,25516,
Musée Villeneuvien,2017,BOURGOGNE-FRANCHE-COMTE,VILLENEUVE-SUR-YONNE,0,1010,1010,
Musée des Beaux-Arts de Brest,2017,BRETAGNE,BREST,4149,14149,18298,
Musée National de la Marine,2017,BRETAGNE,BREST,36589,37887,74476,
Le Port-Musée,2017,BRETAGNE,DOUARNENEZ,39792,5933,45725,
Musée des Phares et Balises,2017,BRETAGNE,OUESSANT,13850,1679,15529,
Musée de Bretagne,2017,BRETAGNE,RENNES,22416,53564,75980,
Ecomusée de Saint-Dégan,2017,BRETAGNE,BREC'H,8028,2035,10063,
Ecomusée Industriel des Forges,2017,BRETAGNE,INZINZAC-LOCHRIST,1420,1794,3214,
Musée de la Compagnie des Indes,2017,BRETAGNE,PORT-LOUIS,37107,32694,69801,
Musée de la Résistance Bretonne,2017,BRETAGNE,SAINT-MARCEL - MALESTROIT,12631,2180,14811,
Musée des Arts Décoratifs,2017,CENTRE-VAL DE LOIRE,BOURGES,4603,2650,7253,
Musée - Hôtel Morin,2017,CENTRE-VAL DE LOIRE,AMBOISE,0,11252,11252,
Musée François Rabelais,2017,CENTRE-VAL DE LOIRE,SEUILLY,10058,2824,12882,
Muséum d'Histoire Naturelle,2017,CENTRE-VAL DE LOIRE,TOURS,14650,27445,42095,
Château Musées de Blois,2017,CENTRE-VAL DE LOIRE,BLOIS,226326,36844,263170,
Musée de la Corbillière,2017,CENTRE-VAL DE LOIRE,MER,0,4369,4369,
Musée Archéologique,2017,CENTRE-VAL DE LOIRE,THESEE,577,80,657,
Musée de Vendôme,2017,CENTRE-VAL DE LOIRE,VENDOME,0,14774,14774,
Musée de la Marine de Loire,2017,CENTRE-VAL DE LOIRE,CHATEAUNEUF-SUR-LOIRE,8932,6049,14981,
"Hôtel Cabu, Musée d'Histoire et d'Archéologie",2017,CENTRE-VAL DE LOIRE,ORLEANS,1072,11500,12572,
Musée Arthur Rimbaud,2017,GRAND EST,CHARLEVILLE-MEZIERES,8302,12388,20690,
Musée du Château-Fort,2017,GRAND EST,SEDAN Cedex,56082,2732,58814,
Maison de l'Outil  et de la Pensée Ouvrière,2017,GRAND EST,TROYES,14433,4500,18933,
Musée des Beaux-Arts (Musée Pic Saint-Loup),2017,GRAND EST,TROYES,4468,20181,24649,
Musée d'Art Moderne,2017,GRAND EST,TROYES,19568,27324,46892,
Musée Alsacien,2017,GRAND EST,HAGUENAU,723,896,1619,
Cabinet des Estampes et des Dessins,2017,GRAND EST,STRASBOURG,0,10500,10500,
Musée d'Art et d'Histoire,2017,GRAND EST,LANGRES,2969,5403,8372,
Musée de la Coutellerie,2017,GRAND EST,NOGENT,4573,1734,6307,
Musée Bartholdi,2017,GRAND EST,COLMAR,15235,7880,23115,
Musée Historique,2017,GRAND EST,MULHOUSE,0,34144,34144,
Cité du Train,2017,GRAND EST,MULHOUSE,67957,20190,88147,
Musée Garinet,2017,GRAND EST,CHALONS-EN-CHAMPAGNE,166,759,925,
Musée du Château de Montaigu,2017,GRAND EST,LANEUVEVILLE-DEVANT-NANCY,454,400,854,
Musée des Beaux-Arts de Nancy,2017,GRAND EST,NANCY,55883,66894,122777,
Musée Jules Bastien-Lepage - Musée de la Fortification,2017,GRAND EST,MONTMEDY,11184,2095,13279,
Musée d'Argonne,2017,GRAND EST,VARENNES-EN-ARGONNE,1100,0,1100,
Musée Jeanne d'Arc,2017,GRAND EST,VAUCOULEURS,867,378,1245,
Musée du Pays de Sarrebourg,2017,GRAND EST,SARREBOURG,8878,7803,16681,
La Tour aux Puces - Musée du Pays Thionvillois,2017,GRAND EST,THIONVILLE,1006,8706,9712,
Musée de la Lutherie et de l'Archèterie Française,2017,GRAND EST,MIRECOURT,5747,4469,10216,
Ecomusée de Marie-Galante,2017,GUADELOUPE,GRAND-BOURG de MARIE-GALANTE,0,38693,38693,
Musée Départemental Victor Schoelcher,2017,GUADELOUPE,POINTE-A-PITRE,0,9629,9629,
